step: [25800],local_average_loss: [0.07056245]
step: [26000],local_average_loss: [0.07102215]
step: [26200],local_average_loss: [0.07079909]
step: [26400],local_average_loss: [0.07057742]
step: [26600],local_average_loss: [0.07115023]
step: [26800],local_average_loss: [0.07052114]
step: [27000],local_average_loss: [0.07063714]
step: [27200],local_average_loss: [0.07132603]
step: [27400],local_average_loss: [0.07181767]
step: [27600],local_average_loss: [0.07074462]
step: [27800],local_average_loss: [0.07116947]
step: [28000],local_average_loss: [0.07137855]
step: [28200],local_average_loss: [0.07114637]
step: [28400],local_average_loss: [0.07112440]
step: [28600],local_average_loss: [0.07153605]
step: [28800],local_average_loss: [0.07090662]
step: [29000],local_average_loss: [0.07132659]
step: [29200],local_average_loss: [0.06994118]
step: [29400],local_average_loss: [0.07135771]
step: [29600],local_average_loss: [0.07161891]
step: [29800],local_average_loss: [0.07117262]
step: [30000],local_average_loss: [0.07116208]
step: [30200],local_average_loss: [0.07108557]
step: [30400],local_average_loss: [0.07106119]
step: [30600],local_average_loss: [0.07177211]
step: [30800],local_average_loss: [0.07067814]
step: [200],local_average_loss: [0.00700567]
step: [400],local_average_loss: [0.00366867]
step: [600],local_average_loss: [0.00290726]
step: [800],local_average_loss: [0.00286175]
step: [1000],local_average_loss: [0.00237812]
step: [1200],local_average_loss: [0.00245059]
step: [1400],local_average_loss: [0.00219519]
step: [1600],local_average_loss: [0.00215700]
step: [1800],local_average_loss: [0.00207073]
step: [2000],local_average_loss: [0.00215482]
step: [2200],local_average_loss: [0.00182689]
step: [2400],local_average_loss: [0.00183803]
step: [2600],local_average_loss: [0.00174059]
step: [2800],local_average_loss: [0.00174358]
step: [3000],local_average_loss: [0.00176359]
step: [3200],local_average_loss: [0.00176217]
step: [3400],local_average_loss: [0.00159930]
step: [3600],local_average_loss: [0.00158135]
step: [3800],local_average_loss: [0.00156407]
step: [4000],local_average_loss: [0.00152653]
step: [4200],local_average_loss: [0.00149922]
step: [200],local_average_loss: [0.00630677]
step: [400],local_average_loss: [0.00299483]
step: [600],local_average_loss: [0.00232997]
step: [800],local_average_loss: [0.00204066]
step: [1000],local_average_loss: [0.00192914]
step: [1200],local_average_loss: [0.00190735]
step: [1400],local_average_loss: [0.00181976]
step: [1600],local_average_loss: [0.00180217]
step: [1800],local_average_loss: [0.00177358]
step: [2000],local_average_loss: [0.00177114]
step: [2200],local_average_loss: [0.00167912]
step: [2400],local_average_loss: [0.00162160]
step: [2600],local_average_loss: [0.00158864]
step: [2800],local_average_loss: [0.00162244]
step: [3000],local_average_loss: [0.00180142]
step: [3200],local_average_loss: [0.00154759]
step: [3400],local_average_loss: [0.00159509]
step: [3600],local_average_loss: [0.00159074]
step: [3800],local_average_loss: [0.00154756]
step: [4000],local_average_loss: [0.00151596]
step: [4200],local_average_loss: [0.00155992]
step: [4400],local_average_loss: [0.00146829]
step: [4600],local_average_loss: [0.00152133]
step: [4800],local_average_loss: [0.00141285]
step: [5000],local_average_loss: [0.00142812]
step: [5200],local_average_loss: [0.00145294]
step: [5400],local_average_loss: [0.00143396]
step: [5600],local_average_loss: [0.00141618]
step: [5800],local_average_loss: [0.00138572]
step: [6000],local_average_loss: [0.00139062]
step: [6200],local_average_loss: [0.00135639]
step: [6400],local_average_loss: [0.00135958]
step: [6600],local_average_loss: [0.00131364]
step: [6800],local_average_loss: [0.00146397]
step: [7000],local_average_loss: [0.00139993]
step: [7200],local_average_loss: [0.00130793]
step: [7400],local_average_loss: [0.00129657]
step: [7600],local_average_loss: [0.02197434]
step: [7800],local_average_loss: [0.01153325]
step: [8000],local_average_loss: [0.01046858]
step: [8200],local_average_loss: [0.00986847]
step: [8400],local_average_loss: [0.00986266]
step: [8600],local_average_loss: [0.00972695]
step: [8800],local_average_loss: [0.00964550]
step: [9000],local_average_loss: [0.00937340]
step: [9200],local_average_loss: [0.00943489]
step: [9400],local_average_loss: [0.00958324]
step: [9600],local_average_loss: [0.00920689]
step: [9800],local_average_loss: [0.00923608]
step: [10000],local_average_loss: [0.00927204]
step: [10200],local_average_loss: [0.00925019]
step: [10400],local_average_loss: [0.00925852]
step: [10600],local_average_loss: [0.00903653]
step: [10800],local_average_loss: [0.00918552]
step: [11000],local_average_loss: [0.00899039]
step: [11200],local_average_loss: [0.00940561]
step: [11400],local_average_loss: [0.00885193]
step: [11600],local_average_loss: [0.00881158]
step: [11800],local_average_loss: [0.00878606]
step: [12000],local_average_loss: [0.00913148]
step: [12200],local_average_loss: [0.00870471]
step: [12400],local_average_loss: [0.00904420]
step: [12600],local_average_loss: [0.00870241]
step: [12800],local_average_loss: [0.00899038]
step: [13000],local_average_loss: [0.00873328]
step: [13200],local_average_loss: [0.00873089]
step: [13400],local_average_loss: [0.00847678]
step: [13600],local_average_loss: [0.00911441]
step: [13800],local_average_loss: [0.00892934]
step: [14000],local_average_loss: [0.00866312]
step: [14200],local_average_loss: [0.00892846]
step: [14400],local_average_loss: [0.00844754]
step: [14600],local_average_loss: [0.00873235]
step: [14800],local_average_loss: [0.00883577]
step: [15000],local_average_loss: [0.00900901]
step: [15200],local_average_loss: [0.00853174]
step: [15400],local_average_loss: [0.00860687]
step: [15600],local_average_loss: [0.00875087]
step: [15800],local_average_loss: [0.00853715]
step: [16000],local_average_loss: [0.00847379]
step: [16200],local_average_loss: [0.00894391]
step: [16400],local_average_loss: [0.00848444]
step: [16600],local_average_loss: [0.00854882]
step: [16800],local_average_loss: [0.00851172]
step: [17000],local_average_loss: [0.00852830]
step: [17200],local_average_loss: [0.00825905]
step: [17400],local_average_loss: [0.00871040]
step: [17600],local_average_loss: [0.00869160]
step: [17800],local_average_loss: [0.00868356]
step: [18000],local_average_loss: [0.00861049]
step: [18200],local_average_loss: [0.00871874]
step: [18400],local_average_loss: [0.00892287]
step: [18600],local_average_loss: [0.00854180]
step: [18800],local_average_loss: [0.00869574]
step: [19000],local_average_loss: [0.00834758]
step: [19200],local_average_loss: [0.00852592]
step: [19400],local_average_loss: [0.00836683]
step: [19600],local_average_loss: [0.00855543]
step: [19800],local_average_loss: [0.00905135]
step: [20000],local_average_loss: [0.00866223]
step: [20200],local_average_loss: [0.00863939]
step: [20400],local_average_loss: [0.00870496]
step: [20600],local_average_loss: [0.00863592]
step: [20800],local_average_loss: [0.00887683]
step: [21000],local_average_loss: [0.00868647]
step: [21200],local_average_loss: [0.00829216]
step: [21400],local_average_loss: [0.00859853]
step: [21600],local_average_loss: [0.00858956]
step: [21800],local_average_loss: [0.00860919]
step: [22000],local_average_loss: [0.00859764]
step: [22200],local_average_loss: [0.00852713]
step: [22400],local_average_loss: [0.00860858]
step: [22600],local_average_loss: [0.00844262]
step: [22800],local_average_loss: [0.00834885]
step: [23000],local_average_loss: [0.00857273]
step: [23200],local_average_loss: [0.00839531]
step: [23400],local_average_loss: [0.00861436]
step: [23600],local_average_loss: [0.00817636]
step: [23800],local_average_loss: [0.00855380]
step: [24000],local_average_loss: [0.00847841]
step: [24200],local_average_loss: [0.00845096]
step: [24400],local_average_loss: [0.00858032]
step: [24600],local_average_loss: [0.00863131]
step: [24800],local_average_loss: [0.00863112]
step: [25000],local_average_loss: [0.00834800]
step: [25200],local_average_loss: [0.00839297]
step: [25400],local_average_loss: [0.00838841]
step: [25600],local_average_loss: [0.00858604]
step: [25800],local_average_loss: [0.00853229]
step: [26000],local_average_loss: [0.00850830]
step: [26200],local_average_loss: [0.00864452]
step: [26400],local_average_loss: [0.00860519]
step: [26600],local_average_loss: [0.00843637]
step: [26800],local_average_loss: [0.00828757]
step: [27000],local_average_loss: [0.00885965]
step: [27200],local_average_loss: [0.00848359]
step: [27400],local_average_loss: [0.00836755]
step: [27600],local_average_loss: [0.00838073]
step: [27800],local_average_loss: [0.00834046]
step: [28000],local_average_loss: [0.00838596]
step: [28200],local_average_loss: [0.00840061]
step: [28400],local_average_loss: [0.00841515]
step: [28600],local_average_loss: [0.00862203]
step: [200],local_average_loss: [0.00412685]
step: [400],local_average_loss: [0.00297037]
step: [600],local_average_loss: [0.00240821]
step: [800],local_average_loss: [0.00235691]
step: [1000],local_average_loss: [0.00218605]
step: [1200],local_average_loss: [0.00205540]
step: [1400],local_average_loss: [0.00191928]
step: [1600],local_average_loss: [0.00208758]
step: [1800],local_average_loss: [0.00191620]
step: [2000],local_average_loss: [0.00174341]
step: [2200],local_average_loss: [0.00171526]
step: [2400],local_average_loss: [0.00169328]
step: [2600],local_average_loss: [0.00164636]
step: [2800],local_average_loss: [0.00162795]
step: [3000],local_average_loss: [0.00166132]
step: [3200],local_average_loss: [0.00162175]
step: [3400],local_average_loss: [0.00158362]
step: [3600],local_average_loss: [0.00154668]
step: [3800],local_average_loss: [0.00156825]
step: [4000],local_average_loss: [0.00152846]
step: [4200],local_average_loss: [0.00151147]
step: [4400],local_average_loss: [0.00148907]
step: [4600],local_average_loss: [0.00148128]
step: [4800],local_average_loss: [0.00147719]
