step: [22400],local_average_loss: [0.06899096]
step: [22600],local_average_loss: [0.06883693]
step: [22800],local_average_loss: [0.06850103]
step: [23000],local_average_loss: [0.06891274]
step: [23200],local_average_loss: [0.06925592]
step: [23400],local_average_loss: [0.06872296]
step: [23600],local_average_loss: [0.06815998]
step: [23800],local_average_loss: [0.06898758]
step: [24000],local_average_loss: [0.06821752]
step: [24200],local_average_loss: [0.06902899]
step: [24400],local_average_loss: [0.06904747]
step: [24600],local_average_loss: [0.06897011]
step: [24800],local_average_loss: [0.06869562]
step: [25000],local_average_loss: [0.06899629]
step: [25200],local_average_loss: [0.06933284]
step: [25400],local_average_loss: [0.06873785]
step: [25600],local_average_loss: [0.06843807]
step: [25800],local_average_loss: [0.06878449]
step: [26000],local_average_loss: [0.06893571]
step: [26200],local_average_loss: [0.06813282]
step: [26400],local_average_loss: [0.06860214]
step: [26600],local_average_loss: [0.06911257]
step: [26800],local_average_loss: [0.06846952]
step: [27000],local_average_loss: [0.06873818]
step: [27200],local_average_loss: [0.06867046]
step: [27400],local_average_loss: [0.06912543]
step: [27600],local_average_loss: [0.06893389]
step: [27800],local_average_loss: [0.06876253]
step: [28000],local_average_loss: [0.06826341]
step: [28200],local_average_loss: [0.06781359]
step: [28400],local_average_loss: [0.06923969]
step: [28600],local_average_loss: [0.06833478]
step: [28800],local_average_loss: [0.06897618]
step: [29000],local_average_loss: [0.06922232]
step: [29200],local_average_loss: [0.06895217]
step: [29400],local_average_loss: [0.06887468]
step: [29600],local_average_loss: [0.06843460]
step: [29800],local_average_loss: [0.06862818]
step: [30000],local_average_loss: [0.06872934]
step: [30200],local_average_loss: [0.06891580]
step: [30400],local_average_loss: [0.06853962]
step: [30600],local_average_loss: [0.06866759]
step: [30800],local_average_loss: [0.06854931]
step: [31000],local_average_loss: [0.06887483]
step: [31200],local_average_loss: [0.06865504]
step: [31400],local_average_loss: [0.06895926]
step: [31600],local_average_loss: [0.06892057]
step: [31800],local_average_loss: [0.06816032]
step: [32000],local_average_loss: [0.06883993]
step: [32200],local_average_loss: [0.06864671]
step: [32400],local_average_loss: [0.06878626]
step: [32600],local_average_loss: [0.06855034]
step: [32800],local_average_loss: [0.06820088]
step: [33000],local_average_loss: [0.06963194]
step: [33200],local_average_loss: [0.06841630]
step: [33400],local_average_loss: [0.06868220]
step: [33600],local_average_loss: [0.06869352]
step: [33800],local_average_loss: [0.06861554]
step: [34000],local_average_loss: [0.06878485]
step: [34200],local_average_loss: [0.06848230]
step: [34400],local_average_loss: [0.06878455]
step: [34600],local_average_loss: [0.06854536]
step: [34800],local_average_loss: [0.06859922]
step: [35000],local_average_loss: [0.06834269]
step: [35200],local_average_loss: [0.06922853]
step: [35400],local_average_loss: [0.06871741]
step: [35600],local_average_loss: [0.06845423]
step: [35800],local_average_loss: [0.06851258]
step: [36000],local_average_loss: [0.06862719]
step: [36200],local_average_loss: [0.06874223]
step: [36400],local_average_loss: [0.06869271]
step: [36600],local_average_loss: [0.06878884]
step: [36800],local_average_loss: [0.06889895]
step: [37000],local_average_loss: [0.06848863]
step: [37200],local_average_loss: [0.06872461]
step: [37400],local_average_loss: [0.06857810]
step: [37600],local_average_loss: [0.06822594]
step: [37800],local_average_loss: [0.06847385]
step: [38000],local_average_loss: [0.06886097]
step: [38200],local_average_loss: [0.06926068]
step: [38400],local_average_loss: [0.06883329]
step: [38600],local_average_loss: [0.06816091]
step: [38800],local_average_loss: [0.06916719]
step: [39000],local_average_loss: [0.06887661]
step: [39200],local_average_loss: [0.06865037]
step: [39400],local_average_loss: [0.06901296]
step: [39600],local_average_loss: [0.06879835]
step: [39800],local_average_loss: [0.06877495]
step: [40000],local_average_loss: [0.06829600]
step: [40200],local_average_loss: [0.06875140]
step: [40400],local_average_loss: [0.06899929]
step: [40600],local_average_loss: [0.06860359]
step: [40800],local_average_loss: [0.06899963]
step: [41000],local_average_loss: [0.06885284]
step: [41200],local_average_loss: [0.06886590]
step: [41400],local_average_loss: [0.06845582]
